№,q1.1.                   первое прилагательное,q1.2.                 второе прилагательное,q1.3. третье прилагательное,"q2. факультет, на который подали заявление",q3. оценка вероятности поступления,q4. источник информации о факультете,q4.7. источник информации о факультете (другое),q6. альтернативные места поступления,"q7. наличие родственников, окончивших факультет","q7.1 родственникb, окончившие факультет",q8. работает ли он по специальности (кодируется только если в q7. ответ 1),q9. планирование работать по специальности,q10.1. фактор,q10.2. фактор,q10.3. фактор,q10.7 другое,q11.1.1 вуз,q11.1.2 факультет,q12.1.,q12.2.,q12.3.,q12.7 другое,q13. подготовка перед поступлением,q13.4 курсы в вузе,q13.6. подготовка перед поступлением (другое),q14.1. математика,q14.2. русский язык,q14.3. обществознание,q14.4. иностранный язык,q14.5. история,q15.1.,q15.2.,q15.3.,q15.4.,q15.5.,q15.6.,q15.7.,q15.8.,q15.9.,q15.10.,q16. вероятность поступления на другие факультеты,q17.1. название компании (организации),q17.2. направление (профиль деятельности),q17.3. функциональные обязанности,q18. возможность договорного обучения,q19. образовательный кредит,q20. возраст респондента,q21. пол респондента,q22. место жительства респондента,q22.2 ,q22.3,q23.1. образование (отец),q23.2. образование (мать),q23.8.1 образование (отец),q23.8.2 образование (мать),q23.8. образование родителей (другое),q24. материальное положение семьи,q25. количество иностранных языков,q25.1 иностранный язык,q25.2 иностранный язык,q25.3 иностранный язык,q26. социальный слой семьи
339,сложный, престижный, успешный,Высшая школа бизнеса (факультет),7,2,  -, -,1,родители,2,2,2,  -,  -, -,МИЭТ,экономический факультет,1,2,3, -,1,Финансовая Академия, -,81,82,83,94,65,4,2,2,4,5,2,2,4,5,2,5,МИД РФ,,,1,2,17,1,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
340,желанный, интересный, статусный,Химический факультет,10,3,  -,социологический факультет,2,  -,4,1,1,  -,  -, -,МГЮА,юридический факультет,1, -, -, -,4,МГУ, -,63,95,80,69,86,2,3,3,3,2,3,2,1,2,3,9,Вымпелком,юрист,,3,3,18,1,1,-,-,4,4,-,-,-,4,2,английский,немецкий,-,3
341,перспективный, интересный, престижный,Факультет вычислительной математики и кибернетики,7,3,  -,право,2,  -,4,2,1,3,4, -,ГУВШЭ,"МИЭФ, мир. Эконом.",1, -, -, -,7, -, -,45,90,100,90,54,3,2,3,1,1,3,3,2,1,3,7,,,,3,3,18,2,1,-,-,7,4,-,-,-,7,1,английский,-,-,7
342,красиво, престижно, тяжело,Биологический факультет,6,3,  -,"почвоведение, биоинформатика",2,  -,  -,2,3,4,  -, -,нет других, -,2,6, -, -,1, -, -,68,73,56,58,54,3,4,2,4,3,1,4,1,4,2,6,,,,2,2,17,1,2,-,-,4,4,-,-,-,6,1,английский,-,-,3
343,увлекательный,интересный,,Геологический факультет,8,7,  -, -,2,  -,  -,1,7,  -,  -, -,РЭУ, -,2, -, -, -,5, -, -,69,95,85,75,54,4,2,2,2,5,1,3,2,2,2,6,,,,2,2,17,2,1,-,-,4,4,-,-,-,5,2,английский,французский,-,2
344,финансируемый,,,Юридический факультет,6,5,  -, -,2,  -,3,1,1,  -,  -, -,РАИ, -,1,2,3, -,1, -, -,50,57,69,59,58,2,1, -,2,2,2,1,1,4, -,6,,,,1,2,17,1,1,-,-,4,4,-,-,-,4,2,английский,испанский,-,3
345,перспективный, престижный, лёгкий,Экономический факультет,10,5,  -,ВСРФ,2,  -,  -,4,7,  -,  -,Френсис Костелло,нет других, -,7, -, -,ближе к дому,1, -, -,74,88,74,88,66,5,1,4,1,2,5,3,2,4,4,10,МВДРФ,борьба со злом,расхищение расхищенного,1,1,19,1,2,Бельдяжки,-,4,4,-,-,-,2,4,русский,-,-,2
346,,,,Экономический факультет,7,6,  -,юридический,1,родители,1,1,1,  -,  -, -,нет других, -,2, -, -, -,5, -, -,66,82,88,89,59,1,4,3,2,2,2,2,1,3,4,6,Россия,президент,править страной,1,2,17,1,1,-,-,4,4,-,-,-,4,2,английский,чеченский,-,3
347,престижный, ПЕРСПЕКТИВНЫЙ, АВТОРИТЕТНЫЙ,Юридический факультет,6,3,  -,"исторический, ИСАА",1,родители,  -,2,1,2,  -, -,ВЭШ,правовой,2, -, -, -,1, -, -,63,92,90,89,96,4,2,3,2,2,2,3,2,3,2,6,,,,2,2,17,2,1,-,-,3,3,-,-,-,4,1,английский,-,-,3
348,интересный, необычный, тихий,Геологический факультет,9,3,  -,фундаментальная и приклдная лингвистика,2,  -,  -,2,2,4,  -, -,НИУ-ВШЭ,эканомический,1,2, -, -,3, -, -,85,95,65,93,67,2,5,2,1,1,1,2,2,3,4,8,,экономика,,2,2,17,2,1,-,-,6,6,-,-,-,4,3,английский,немецкий,французский,3
349,интересный, познавательный, сложный,Юридический факультет,7,3,  -,"филологический, социологический, лингвистический",2,  -,  -,2,3,  -,  -, -,РГГУ,"социологичесий, эконом. культур.",1,2,6, -, -, -,курсы НИУ-ВШЭ,86,76,66,74,68,4,2,4,1,1,1,4,1,1,1,7,ГазПРОМ,президент,руководитель,2,2,17,2,1,-,-,4,4,-,-,-,3,3,английский,немецкий,французский,3
350,интересный, творческий, нестандартный,Высшая школа телевидения (факультет),8,1,  -, -,1,знакомые,1,1,1,  -,  -, -,ГУ-ВШЭ,юридический,1, -, -, -,6, -,"варианты 1, 2 и 3",52,62,83,58,91,2,5,5,2,5,5,5,5,5,5,5,Государственная структура,Прокуратура,З.О.,1,2,18,1,1,-,-,5,5,-,-,-,7,1,английский,-,-,2
351,престижный, интересный, качественный,Экономический факультет,10,7,  -,реклама и связи с общественностью,2,  -,  -,2,2,5,6, -,нет других, -,1,3,5, -,6, -,"варианты 1, 4 и 5",52,70,80,83,77,1,4,1,1,1,1,1,1,1,3,10,Газпром,,,1,2,16,1,1,-,-,4,4,-,-,-,6,3,испанский,немецкий,английский,2
352,престижный, сложный, красивый,Высшая школа государственного аудита (факультет),10,7,  -, -,2,  -,  -,2,2,5,6, -,нет других, -,1,3,5, -,6, -,"варианты 1, 2, 4 и 5",44,95,80,93,72,2,3,2,2,2,2,3,1,1,3,,Газпром,Генеральный директор,зарабатывать деньги,1,2,17,2,1,-,-,5,4,-,-,-,6,2,испанский,английский,-,1
353,надежда,,,Экономический факультет,7,7,  -,мировой политики,2,  -,  -,2,1,3,4, -,РУДН, -,1,2,3, -,1, -, -,56,98,58,87,91,5,2,4,3,3,2,4,3,1,2,6,,,,2,2,18,2,,Сафоново,-,4,4,-,-,-,5,1,немецкий,-,-,3
354,интересный, сложный, перспективный,Факультет мировой политики,9,2,  -, -,1,брат,1,4,4,5,6, -,ГУ-ВШЭ,права,1,2,3, -,1, -, -,52,95,90,68,96,4,1,4,1,1,4,5,1,2,4,8,,,,3,3,17,1,1,-,-,4,4,-,-,-,7,1,английский,-,-,3
355,фундаментальный,базовый, перспективный,Исторический факультет,8,7,  -,"ФГП, социологический",2,  -,  -,2,2,6,7,самосознание,нет других, -,1,2, -, -,5,РГГУ, -,52,82,80,62,64,2,3,2,5,2,1,3,1,1,4,7,МИД,МО,,3,3,17,2,1,-,-,2,2,-,-,-,4,2,английский,немецкий,-,3
356,классный, престижный, интересный,Факультет государственного управления,10,1,  -, -,1,знакомые,1,1,7,  -,  -,сам,нет других, -,1, -, -, -,7, -, -,64,60,78,59,72,1,4,2,1,1,3,2,1,1,4,,Гелеон Траст,,,1,3,18,1,1,-,-,4,4,-,-,-,6,3,русский,английский,турецкий,3
357,философский факультет,,,Философский факультет,10,3,  -,социологический,2,  -,  -,4,6,7,  -,самосознание,РГТЭУ,экономика,1,2, -, -,7, -, -,52,74,80,55,77,3,2,4,1,1,1,3,3,1,1,10,,,управление персоналом,1,3,18,1,1,-,-,4,4,-,-,-,7,2,армянский,английский,-,2
358,Интересный,Интеллектуальный,Познавательный,Исторический факультет,8,4,  -, -,2,  -,  -,2,1,  -,  -, -,ВШЭ,права,2, -, -, -,1, -, -,63,74,81,56,78,1,4,1,1,1,1,1,1,1,3,8,Государственная структура,судья,,1,3,16,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,2
359,общительный, интересный, развивающий,Социологический факультет,8,7,  -,Факультет Политологии,2,  -,  -,2,2,3,  -, -,ГУ-ВШЭ,мировой политики и экономики,1,5, -, -,6, -,варианты 1 и 3,70,95,80,92,82,2,3,5,2,2,2,1,1,3,3,8,собственное предприятие,,,2,2,17,2,,Жуковский,-,4,4,-,-,-,5,3,английский,испанский,французский,3
360,престижный,интересный,гуманитарный,Факультет мировой политики,7,3,  -,филологический,2,  -,  -,2,1,4,7,собственные усилия,РГГУ,архивоведение,1,2,6, -,1, -, -,66,76,66,83,73,3,1,4,2,1,2,3,1,1,3,9,МГУ им. М.В. Ломоносова,"научная, преподавание",посмотрим в будущем,2,2,16,2,2,Черноголовка,-,4,4,-,-,-,4,1,английский,-,-,2
361,Новый, стильный, вычурный,Экономический факультет,7,3,  -,педгогический,2,  -,  -,2,7,  -,  -,собственные стремления,МГЛУ, -,2,5, -, -,5, -, -,48,95,62,92,66,3,3,1,4,4,5,4,5,3,3,1,школа,педагогическое,педагог,2,2,17,2,1,-,-,2,4,-,-,-,5,2,английский,французский,-,3
362,интересный, перспективный, желанный,Факультет государственного управления,7,5,  -,только юридический,1,двоюродная сестра,1,1,1,  -,  -, -,МГУ,юридический,2, -, -, -,4,МГУ, -,60,69,81,56,82,3,2,3,1,3,5,1,1,2,4,4,Гос.Дума,юрист,юридические,2,2,17,2,1,-,-,2,2,-,-,-,5,1,английский,-,-,3
363,интересный, успешный, привлекательный,Высшая школа современных социальных наук (факультет),8,2,  -,"филологический, экономический",1,подруга,4,2,1,2,  -, -,МГЛУ,международн.отн,2,5, -, -,2, -, -,71,90,66,82,82,2,5,4,3,1,3,2,1,3,3,8,МИД,дипломат,дипломат,3,2,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
364,строгий, математический, таинственный,Экономический факультет,8,5,  -,"философский, регионоведения",2,  -,  -,2,7,  -,  -,собственные мотивации,МГУ,ИССА,2, -, -, -,4,МГУ, -,32,82,56,83,91,2,3,2,2,2,2,2,2,4,4,8,МИД,дипломатия,дип.отношения,1,2,17,1,1,-,-,4,4,-,-,-,6,2,английский,китайский,-,1
365,Красивый, интересный, умный,Юридический факультет,10,2,  -,ФНМ,2,  -,  -,2,7,  -,  -,мое личное мнение,МГТУ им. Баумана, -,5, -, -, -,1, -, -,89,72,88,66,56,4,1,4,2,2,2,2,2,1,2,10,СТВТО,ядерный контроль,ядерщик,2,2,17,1,2,Дубна,-,4,4,-,-,-,6,1,английский,-,-,
366,опасный, неожиданный, загадочный,Химический факультет,9,3,  -,нет,2,  -,  -,2,1,2,5, -,НИУ ВШ,журнал.,1,2,5, -,1, -, -,52,98,56,94,66,3,2,2,2,1,3,2,1,1,3,6,Издательство,лингвист,перевод,2,2,17,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,3
367,Престижный, научный, сложный,Экономический факультет,10,2,  -,МГТУ им. Носова,2,  -,  -,1,7,  -,  -,сам,МГТУ им. Носова, -,1, -, -, -,2, -, -,68,83,74,60,86,1,4,1,2,3,4,2,2,4,1,10,Ооткрытое Акционерное общество,юридический,Генеральный директор,2,2,23,1,2,Магнитогорск,-,4,4,-,-,-,4,1,английский,-,-,3
368,Престижный, перспективный, востребованный,Высшая школа государственного аудита (факультет),7,3,  -,"философский, экономический",2,  -,  -,2,1,3,6, -,СПбГУ, -,1,3,5, -,1, -, -,76,95,75,66,56,2,3,2,2,3,2,3,1,2,2,6,З.О.,юридическое,юридические,2,2,18,1,2,Санкт-Петербург,-,4,4,-,-,-,4,2,английский,испанский,-,3
369,Горы, красное, пафос,Факультет почвоведения,7,3,  -,"исторический, культурология",2,  -,  -,2,1,3,  -, -,МГЮА, -,2, -, -, -,3, -, -,40,87,83,66,89,2,3,2,2,1,3,2,1,3,3,7,адвокатура,адвокат,защита интересов,2,3,18,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
370,интересный популярный познавательный,,,Факультет государственного управления,5,3.6,  -, -,2,  -,  -,2,4,2,1, -,РГГУ, -,2, -, -, -,4,МГУ, -,68,68,71,68,96,2,3,2,2,2,1,2,2,3,2,6,,Наука,,1,2,17,1,2,Королёв,-,4,4,-,-,-,5,1,Английский,-,-,3
371,,,,Философский факультет,9,2.3,  -, -,1,друг,1,2,2,5,6, -,МГИМО,международные отношения,1,2,3, -,"1,4,5",МГУ, -,74,85,80,87,90,2,2,1,1,1,2,1,1,3,2,8,РИА новости,Аналитик,,1,2,17,2,1,-,-,4,4,-,-,-,4,2,Английский,Французский,-,3
372,Серьёзный, интересный, увлекательный,Юридический факультет,5,3,  -, -,2,  -,  -,2,1,3,5, -,МГИМО,экономический,1,3,5, -,1, -, -,68,84,85,85,56,2,3,4,2,2,5,2,2,1,4,5,,Экономика,,1,1,18,2,1,-,-,4,2,-,-,-,4,2,Английский,Французский,-,3
373,перспективный; интересный; активный,,,Экономический факультет,3,6,  -, -,1,"сестра деда, её дочь и внук.",1,1,1,3,  -,собственная инициатива,РУДН,лингивстический,1,2,3, -,5, -, -,56,90,70,89,83,3,2,2,1,1,4,2,2,2,3,6,,Перевод устный,,2,2,18,2,2,Саранск,-,4,6,-,-,-,3,3,Английский,Немецкий,Латынь,3
374,лучший,востребованный,привлекательный,Факультет иностранных языков и регионоведения,1,3,  -, -,1,Алена Шувалова,3,1,1,2,3, -,нет других, -,4, -, -, -,4,МГУ, -,48,90,55,90,65,1,2,3,1,4,1,4,4,1,3,4,,,,1,2,17,2,2,-,-,4,1,-,-,-,6,1,Английский,-,-,2
375,увлекательный, перспективный,,Исторический факультет,8,3,  -, -,2,  -,  -,4,1,2,  -, -,РГГУ,международные отношения,1,2, -, -,4.5,РГГУ, -,54,92,90,74,98,2,3,3,3,3,1,2,2,3,3,9,,,,2,2,17,2,1,-,-,4,4,-,-,-,4,1,Английский,-,-,3
376,сложный,важный,недостижимый,Юридический факультет,7,"1,2,5",  -, -,1,брат,2,2,1,3,5, -,НИУ ВШЭ,"экономики, менеджмента,би",1,2,4, -,"1,2,4",МГУ, -,83,98,88,88,65,2,3,1,3,2,2,4,2,2,3,9,,,,2,2,17,2,1,-,-,4,2,-,-,-,6,2,Английский,Немецкий,-,3
377,престижный,интересный,веселый,Юридический факультет,10,7,  -, -,2,  -,  -,3,1,3,5, -,ВАВТ, -,2, -, -, -,1.2, -, -,70,79,90,85,66,4,1,3,2,2,2,1,2,1,3,10,FIA,Руководитель,Руководитель,3,1,18,1,1,-,-,4,4,-,-,-,7,4,Английский,"Немецкий, ","Испанский, Французский",7
378,Крутой, значимый, великий,Философский факультет,7,3,  -, -,2,  -,  -,2,1,2,5, -,РАНХиГС,ИБДА,2, -, -, -,7, -, -,68,66,95,70,45,3,1,5,1,1,1,5,1,1,2,7,ОАО Газпром,Менеджер,Властвовать,1,1,17,1,1,-,-,2,2,-,-,-,5,2,Английский,"Немецкий, ",-,3
379,интересный,перспективный,востребовательный,Факультет государственного управления,10,7,  -, -,2,  -,  -,2,3,6,7,собственная инициатива,нет других, -,1, -, -, -,7, -, -,79,80,75,45,83,1,4,1,1,1,4,1,1,1,1,10,МГУ,Преподаватель,,2,2,22,1,1,-,-,1,1,-,-,-,1,0,-,-,-,3
380,Интересный, познавательный, красивый,Философский факультет,7,3,  -,исторический,2,  -,  -,2,3,4,5, -,НИУ ВШЭ,права,2, -, -, -,"1,2,5", -, -,52,79,72,56,91,2,2,3,2,4,1,1,1,4,2,10,ОАО Газпром,секретарь,З.О.,2,2,17,1,2,Барнаул,-,2,2,-,-,-,4,1,английский,-,-,3
381,Важный, хороший, необычный.,Факультет государственного управления,5,3,  -,филологический,2,  -,  -,1,1,2,6, -,РГГУ,журналистики,2, -, -, -,1.5, -, -,52,88,65,45,45,2,1,4,2,3,1,2,1,5,2,7,ВГТРК Россия,журналист-корреспондент,обязанности корреспондента,2,2,20,2,2,Сергиев Посад,-,4,2,-,-,-,5,2,английский,украинский,-,3
382,Интересный,познавательный,перспективный,Исторический факультет,10,1,  -,глобальные процессы,1,папа,1,1,1,2,3, -,МГЮА,мировая политика,2, -, -, -,1.3, -, -,71,98,80,95,78,3,1,5,2,1,2,5,2,5,4,8,Президент Р. Ф.,управление государством,,3,2,18,1,1,-,-,4,4,-,-,-,6,2,английский,французский,-,2
383,интересный, душевный,,Исторический факультет,7,1,  -,"мехмат, экономический",2,  -,  -,2,2,4,6, -,МГУ,плобальные процессы,1, -, -, -,3.5, -, -,66,51,88,45,71,4,1,5,1,2,5,1,1,2,5,6,Администрация Президента России,дипломатические отношения,управление,1,1,17,1,1,-,-,4,4,-,-,-,6,2,испанский,английский,-,2
384,Престижный,элитный,прекрасный,Факультет государственного управления,7,3,  -,международные отношения,2,  -,  -,2,1,3,7,я,МГЛУ,международные отношения,2,4,5, -,4,МГУ, -,44,90,80,69,65,4,3,3,2,1,2,2,1,1,2,7,МИД,дипломатические отношения,,1,2,17,2,1,-,-,6,4,-,-,-,6,1,английский,-,-,3
385,Шикарный, божественный, лучший,Исторический факультет,10,"1,2,3",  -,никаие,2,  -,  -,1,1,2,7,сам,МГУ ,юридический,2, -, -, -,"1,4,5",МГУ, -,72,69,68,66,80,2,2,2,3,2,2,4,1,2,3,9,З.О.,З.О.,З.О.,3,2,18,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
386,хороший,интересный,важный,Исторический факультет,10,2,  -,никаие,2,  -,  -,4,1,2,6, -,МГУ,глобальные процессы,1,3,5, -,7, -, -,66,91,56,85,80,5,3,4,3,2,2,3,1,3,2,8,З.О.,З.О.,З.О.,1,2,17,2,1,-,-,4,4,-,-,-,5,2,английский,немецкий,-,3
387,интересный, сложный, выгодный,Факультет глобальных процессов,4,5,  -,"высшая школа гос. аудита, гос. управление",1,"папа, бабушка",1,1,1,2,5, -,НИУ ВШЭ,гос. управление,3, -, -, -,1.5, -, -,85,87,95,92,65,3,4,4,1,1,3,4,1,4,3,4,З.О.,З.О.,З.О.,2,2,17,2,1,-,-,4,4,-,-,-,6,1,английский,-,-,2
388,правовой, новый,престижный,Юридический факультет,6,3,  -,регионоведения,2,  -,  -,1,1,4,6, -,МГУ,глобальных процессов,2, -, -, -,1.5, -, -,63,92,72,79,77,2,5,3,1,1,2,1,1,1,5,8,З.О.,мировая экономика,решение экономических вопросов,1,3,17,2,2,-,-,4,1,-,-,-,6,2,английский,немецкий,-,2
389,Интеллектуальный, интересный, философский,Философский факультет,5,7,  -,"социологический, исторический",2,  -,  -,2,1,4,7,собственное решение,РАП,юридический,2, -, -, -,1, -, -,70,82,65,56,65,3,1,4,2,1,2,3,1,5,2,5,З.О.,адвокатура,решение проблем,1,2,17,1,2,-,-,4,4,-,-,-,6,1,английский,-,-,2
390,достойный, инновационный, интересный,Экономический факультет,7,3,  -,юридический,2,  -,  -,1,2,  -,  -, -,ВШЭ,Мировая экономика,1,3, -, -,5, -, -,90,98,93,90,93,4,1,4,1,3,2,4,1,3,2,8,,"юрист, экономист",,2,2,17,2,1,-,-,4,4,-,-,-,4,2,английский,франзузский,-,3
391,перспективный,,,Экономический факультет,9,3,  -, -,2,  -,  -,2,7,  -,  -,сама,нет других, -,1,7, -,специальность,6, -,училась в другом ВУЗе,63,77,56,65,66,3,1,4,1,1,2,5,1,2,2,4,"""Золотая маска""",продюсер,организация,1,2,20,2,1,-,-,6,4,-,-,-,5,1,английский,-,-,3
392,надежный,перспективный,,Экономический факультет,7,3,  -,юридический,2,  -,  -,2,6,  -,  -, -,ВШЭ,Экономический,1, -, -, -,4,ВШЭ, -,60,97,70,82,56,4,1,4,2,2,2,3,3,1,1,7,Газпром,,,1,2,16,2,1,-,-,4,4,-,-,-,7,2,английский,франзузский,-,7
393,Перспективный,целесообразный,сложный,Юридический факультет,5,2,  -, -,2,  -,  -,4,1,5,  -, -,ВШЭ,Бизнес-информатика,1,2,5, -,4,МГУ, -,68,87,71,88,66,1,4,2,1,1,3,1,1,1,2,9,"ОАО ""Нордеа-Банк""",,,3,2,17,2,1,-,-,4,4,-,-,-,5,2,английский,итальянский,-,3
394,интересный,,,Экономический факультет,2,6,  -, -,2,  -,  -,1,1,3,  -, -,нет других, -,2, -, -, -,1, -, -,63,70,67,67,67,1,2,1,3,2,3,1,1,4,5,3,Государственные органы,,,2,2,18,2,1,-,-,2,2,-,-,-,5,1,английский,-,-,3
395,интересный,полезный,,Экономический факультет,1,3,  -, -,2,  -,  -,2,7,  -,  -,сам,ГУУ,Менеджмент,1,2,3, -,1, -, -,48,65,61,64,54,4,3,4,3,2,1,3,1,1,3,1,,,,2,2,17,1,1,-,-,4,4,-,-,-,7,1,английский,-,-,7
396,интересный,,,Экономический факультет,2,2,  -, -,2,  -,  -,2,7,  -,  -,сам,РГГУ,МО,2, -, -, -,1, -, -,48,67,54,75,47,4,3,3,2,2,3,1,1,1,3,2,,,,1,3,18,1,1,-,-,4,4,-,-,-,6,4,английский,франзузский,испанский,7
397,Перспективный, востребованный, сложный.,Экономический факультет,4,4,  -,химический,2,  -,  -,1,1,  -,  -, -,МГЮА,Юриспреденция,1,4, -, -,1, -, -,62,82,57,48,62,3,1,4,3,3,1,3,1,1,1,6,,,,1,3,18,2,1,-,-,2,2,-,-,-,4,,-,-,-,3
398,замечательный, самый лучший, умные люди,Юридический факультет,10,1,  -,философский,1,друзья,3,5,2,  -,  -, -,РГСУ,Социологиеский,5, -, -, -,1, -, -,62,80,58,59,61,4,2,4,3,3,2,2,2,1,1,10,Кадровое агенство,,,2,2,18,2,1,-,-,4,4,-,-,-,4,1,английский,-,-,3
399,известный престижный красивый,,,Экономический факультет,9,2,  -, -,2,  -,  -,4,4,  -,  -, -,нет других, -,2, -, -, -,1, -, -,62,63,64,65,66,3,4,3,4,3,3,2,2,1,3,7,,,,2,2,18,2,2,Волгоград,-,4,4,-,-,-,7,1,английский,-,-,3
400,энергичный, высокий, первый,Экономический факультет,5,3,  -,журналистики,2,  -,  -,1,1,2,7,личное решение,МГЛУ,журналистики,1,2,5, -,1, -, -,62,79,64,83,62,2,5,1,1,1,3,2,1,2,3,5,в печатные СМИ,,,3,2,18,2,1,-,-,2,4,-,-,-,5,2,немецкий,английский,-,3
401,ПРЕСТИЖНЫЙ, ИНТЕРЕСНЫЙ, СОВРЕМЕННЫЙ,Факультет политологии,8,5,  -,журналистики,2,  -,  -,2,1,2,5, -,МГУ,журналистики,, -, -, -,3, -, -,60,98,64,100,66,4,3,2,3,1,1,4,2,1,5,9,З.О.,,,2,,17,2,1,-,-,1,4,-,-,-,5,2,английский ,немецкий,-,3
402,неизвестный, скрытный, интересный,Факультет биоинженерии и биоинформатики,7,1,  -,экономический,1,друг,1,1,1,2,5, -,МГЛУ,факультет экономики и правва ,1, -, -, -,1, -, -,60,70,70,90,56,4,2,5,4,5,5,3,5,3,5,7,ГАЗПРОМ,,,1,1,18,1,2,Ек,-,4,4,-,-,-,5,1,английский,-,-,3
403,Философский,Познавательный,Интересный,Философский факультет,6,3,  -,мировой политики,2,  -,  -,1,1,3,6, -,РГГУ,реклама и связи с общественностью ,2,3,4, -,1, -, -,48,70,69,74,65,3,3,2,5,5,3,2,1,2,4,7,,,,1,2,17,2,1,-,-,4,4,-,-,-,7,1,английский,-,-,7
404,интересный познавательный востребованный,,,Исторический факультет,7,3,  -,только этот,1,отец,2,2,1,3,5, -,МГЮА,междунарожное право,2, -, -, -,1, -, -,54,90,80,69,80,5,2,5,1,1,1,3,1,1,4,6,,юрист,,1,1,17,1,1,-,-,4,4,-,-,-,5,2,английский,немецкий,-,3
405,хороший, настоящий, великий,Юридический факультет,6,3,день открытых дверей, нет таких,2,  -,  -,4,  -,  -,7,никто.мое решение,МПГУ,общая психология,2, -, -, -,5, -, -,40,82,64,93,65,5,2,2,3,2,5,1,1,1,5,8,,,,2,2,17,2,1,-,-,1,1,-,-,-,7,1,английский,-,-,7
406,классный,хороший,известный,Исторический факультет,5,3,  -,"юридический,культурология",2,  -,  -,2,1,3,7,желание,МПГУ,социология,1,2,5, -,1, -, -,72,92,71,56,77,3,2,4,2,3,2,4,2,3,2,4,,,,2,2,18,2,2,Апрелевка,-,1,4,-,-,-,5,1,английский,-,-,3
407,перспективный, интересный, сложный,Исторический факультет,8,3,  -,исторический,2,  -,  -,2,1,3,5, -,МГУ,мировая политика,1,2, -, -,4,МГУ, -,70,95,83,95,89,2,1,4,2,2,4,2,1,4,3,9,МИД,дипломат,Вести дипломатическую работу,2,2,17,1,1,-,-,4,2,-,-,-,5,2,английскийукраинский,-,-,4
408,интересный, важный,,Юридический факультет,9,4,  -,исторический,1,знакомые,1,2,1,2,4, -,МГИМО,международная политика,2,5, -, -,5,МГУ исторический ф., -,70,98,97,93,54,2,5,2,4,2,1,3,3,5,5,7,,,,2,2,16,2,1,-,-,4,4,-,-,-,6,3,английский,французский , латынь ,7
409,Прекрасный, замечательный, прелестный,Философский факультет,5,1,  -,"мировая политика,юриспруденция ",2,  -,  -,2,1,5,7,собственная инициатива,РГГУ,международных отношений,1,2,3, -,1, -, -,40,71,64,59,58,3,3,2,2,2,2,3,2,1,2,6,З.О.,,,1,2,18,2,2,-,-,1,1,-,-,-,7,1,английский,-,-,7
410,ничего не смог сказать,,,Филологический факультет,7,3,  -, -,2,  -,3,2,1,5,6, -,МГЮА,институт права,2,5, -, -,5, -, -,54,66,88,54,66,1,5,1,2,3,3,2,5,3,2,7,,,,3,3,17,1,1,-,-,5,4,-,-,-,7,2,английский,украинский,-,7
411,Хороший,элитный,непонятный,Факультет государственного управления,10,3,  -, -,1,Лесникова Анна,4,1,3,6,7,собственное решение,МГЛУ,факультет перевода,1,2, -, -, -,МГЛУ, -,40,65,54,52,57,4,2,4,1,1,4,3,1,3,4,9,,,,1,3,17,2,1,-,-,5,5,-,-,-,5,1,английский,-,-,2
412,языки, математика, компьютеры,Философский факультет,8,1,  -, -,2,  -,3,3,1,5,6, -,нет других, -,2,3,4, -,1, -, -,77,95,72,94,54,5,5,1,4,4,3,3,5,4,3,10,,,,3,2,17,2,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
413,Серьезный,сложный,интересный,Юридический факультет,7,3,  -, -,1,преподаватель,1,2,3,6,7,собственное решение,РГГУ,"классическая филология, арабская филология",1,2,5, -,1, -, -,36,82,54,93,62,5,2,4,3,2,1,2,1,2,2,8,МИД РФ,,,2,2,17,2,1,-,-,4,1,-,-,-,4,2,английский,французский,-,3
414,современный,интересный,сложный,Экономический факультет,4,2,  -, -,2,  -,4,2,1,3,5, -,РГГУ,прикладная филология,1,2,5, -,1, -, -,54,90,55,97,68,3,4,4,1,1,3,2,1,1,3,5,,,преподавание русского языка иностранцам,2,2,18,2,1,-,-,4,4,-,-,-,3,2,английский,французский,-,4
415,престижный,,,Факультет государственного управления,8,5,  -, -,2,  -,4,2,3,6,7, -,МФТИ,"управление, прикладная математика",1,2,5, -,5, -, -,81,87,56,56,57,3,3,2,2,1,1,3,1,1,2,8,ГАЗПРОМ,,управление,2,3,18,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,2
416,престижный, сложный, страшный,Социологический факультет,7,3,  -, -,1,тетя,3,3,3,6,7,самостоятельно,РГГУ,"журналистика, филология, востоковедение",3, -, -, -, -,МГУ, -,52,90,61,77,64,3,2,4,5,3,1,3,1,5,1,8,"Вести, ""Коломенская правда""",СМИ,репортер,2,2,17,2,1,-,-,4,4,-,-,-,4,2,английский,немецкий,-,3
417,Масштабный,мощный,престижный,Факультет государственного управления,5,3,  -, -,2,  -,3,2,1,3,5, -,ВШЭ,политологиия,2, -, -, -,1, -, -,63,87,95,59,93,3,2,4,2,2,1,2,1,1,3,5,МИД РФ,сотрудничество с другими государствами,,1,3,17,1,1,-,-,4,4,-,-,-,5,1,английский,-,-,3
